firstname, surname, year, category, motivation, country
Youyou,Tu,2015,medicine,"for her discoveries concerning a novel therapy against Malaria",China
Barbara,McClintock,1983,medicine,"for her discovery of mobile genetic elements",USA
Rosalyn,Yalow,1977,medicine,"for the development of radioimmunoassays of peptide hormones",USA
Carol W.,Greider,2009,medicine,"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",USA
Elizabeth H.,Blackburn,2009,medicine,"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",USA
,,1995,medicine,"for their discoveries concerning the genetic control of early embryonic development",Germany
May-Britt,Moser,2014,medicine,"for their discoveries of cells that constitute a positioning system in the brain",Norway
Rita,Levi-Montalcini,1986,medicine,"for their discoveries of growth factors",Italy
Gertrude B.,Elion,1988,medicine,"for their discoveries of important principles for drug treatment",USA
Linda B.,Buck,2004,medicine,"for their discoveries of odorant receptors and the organization of the olfactory system",USA
Fran�oise,Barr_-Sinoussi,2008,medicine,"for their discovery of human immunodeficiency virus",France
,,1947,medicine,"for their discovery of the course of the catalytic conversion of glycogen",USA
Peter Brian,Medawar,1960,medicine,"for discovery of acquired immunological tolerance",Kingdom
Sir Frank Macfarlane,Burnet,1960,medicine,"for discovery of acquired immunological tolerance",Australia
Joshua,Lederberg,1958,medicine,"for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria",USA
Charles Brenton,Huggins,1966,medicine,"for his discoveries concerning hormonal treatment of prostatic cancer",USA
Roger W.,Sperry,1981,medicine,"for his discoveries concerning the functional specialization of the cerebral hemispheres",USA
,,1971,medicine,"for his discoveries concerning the mechanisms of the action of hormones",USA
Axel Hugo Theodor,Theorell,1955,medicine,"for his discoveries concerning the nature and mode of action of oxidation enzymes",Sweden
Thomas Hunt,Morgan,1933,medicine,"for his discoveries concerning the role played by the chromosome in heredity",USA
Max,Theiler,1951,medicine,"for his discoveries concerning yellow fever and how to combat it",USA
,,1937,medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",Hungary
,,2016,medicine,"for his discoveries of mechanisms for autophagy",Japan
Georg,von B_k_sy,1961,medicine,"for his discoveries of the physical mechanism of stimulation within the cochlea",USA
Jules,Bordet,1919,medicine,"for his discoveries relating to immunity",Belgium
Daniel,Bovet,1957,medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",Italy
Fritz Albert,Lipmann,1953,medicine,"for his discovery of co-enzyme A and its importance for intermediary metabolism",USA
Fritz Albert,Lipmann,1953,medicine,"for his discovery of co-enzyme A and its importance for intermediary metabolism",USA
Karl,Landsteiner,1930,medicine,"for his discovery of human blood groups",USA
